Assigned_to_Group,Category,Item,Summary,Resolution,Support_Diary,Notes,Work_Log,1CApp_Name,row_count
L1 (AVM Tools & Portals),AppLensLite,Others,Unable to submit AppLensLite timesheet,,625820 1/11/2019 9:45:38 AM  In Progress  Keerthana G S    625820 1/11/2019 9:43:33 AM  n Progress  Keerthana G S   ,I Can able to open view time sheet but i cant able to submit it is reloading 5 min of time and asking to raise please solve my query asap thank you,"625820 1/11/2019 10:38:43 AM  Dear Venkatapavankumar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033465552  Request:  We understand from your description that,Unable to submit AppLensLite timesheet  Resolution:  As discussed over the IM,after refreshing the portal you were able to submit the timesheet without any issue  As per the confirmation on the IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Keerthana G S   ",AppLensLite,11
L1 (AVM Tools & Portals),AppLensLite,Timesheet Calendar,How to unfreeze timesheet in AppLensLite,"Dear Shamini ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033443377  Request:  We understand from your description that, How to unfreeze timesheet in AppLensLite  Resolution:  Please be informed that, as discussed on IM,since we are facing issue in the graph which navigates to 2018 we request you to select the date in the calendar and try unfreezing the timesheet.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/10/2019 7:54:00 PM  a  Subhashini S    ,Unable to Unfreeze applens timesheet and couldnt able to enter the timesheet for the Unfrozen dates.,"673898 1/10/2019 8:02:11 PM   Dear Shamini ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033443377  Request:  We understand from your description that, How to unfreeze timesheet in AppLensLite  Resolution:  Please be informed that, as discussed on IM,since we are facing issue in the graph which navigates to 2018 we request you to select the date in the calendar and try unfreezing the timesheet.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,12
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,597603 1/10/2019 6:34:07 PM  WIP  SRI RAM    673898 1/10/2019 6:27:32 PM  Kindly change the primary skill as Dot net for SO 30834821  Subhashini S   ,Kindly change the primary skill as Dot net for SO 30834821,597603 1/10/2019 6:35:23 PM   primary skill updated as Dot net for SO 30834821  SRI RAM   ,AVMPMO,13
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,597603 1/10/2019 6:20:09 PM  WIP  SRI RAM    673898 1/10/2019 6:19:18 PM  Please change the competency as given below for SOs shared and let us know once changed.  30834821- Competency to Core-.Net 30947751- Competency to Core-Java 30956681- Competency to Core-Java  Subhashini S   ,Please change the competency as given below for SOs shared and let us know once changed.  30834821- Competency to Core-.Net 30947751- Competency to Core-Java 30956681- Competency to Core-Java,597603 1/10/2019 6:24:39 PM   SOs competency updated as below:  30834821- Competency to Core-.Net 30947751- Competency to Core-Java 30956681- Competency to Core-Java  SRI RAM   ,AVMPMO,14
L1 (AVM Tools & Portals),AppLensLite,How/Unable to upload tickets,AppLens Bid File Upload Related Issue,"Hi Balaji,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033435441""  Issue Description: Unable to upload tickets in App Lens  Information Provided:   Please note that,we request you to check whether the application RS Reflex is enabled in   Admin Console>>AppLication Inventory>>Project Mapping>>Enable the application>>Save.  Since you are able to uploadt the tickets now we are changing the status of the ticket as """"Resolved""  Please  contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",673898 1/11/2019 4:52:55 PM  a  Subhashini S    673898 1/11/2019 4:14:51 PM  a  Subhashini S    673898 1/10/2019 8:34:45 PM  a  Subhashini S    439435 1/10/2019 7:33:50 PM  In Progress  Vishnu Priya K    439435 1/10/2019 4:48:24 PM  In Progress  Vishnu Priya K    439435 1/10/2019 4:48:15 PM  Assigned  Vishnu Priya K    673898 1/10/2019 4:45:38 PM  a  Subhashini S    ,"1) Associate id : 709305 2) Opportunity Name  3) Date of analysis : 01/08/2019 4) Time of analysis: after 6:00 AM EST 5) Page where the issue occurred :Upload Page 6) Issue Description: We uploading the dumb of tickets for the Workplace & Solutions, all tickets are uploading except the ""RS Reflex"", if the Tickets containing Affected CI is ""RS Reflex"" its not updating, if we change the Affected CI as ""Power Image"" for those tickets then its uploading, i belive there is an issue with RS Reflex Configuration.Please do the needful. Most of them in our project they are not filling their APPlens for the December month due to this issue.Please kindly fix this issue ASAP. 7) Snapshot of the issue : Provided in the Attachment of Error Log 8) Attach your ticket dump: Provided in the Attachment 9) Triggered Mails for the completed or failed analysis","673898 1/11/2019 4:54:11 PM  Hi Balaji,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033435441""  Issue Description: Unable to upload tickets in App Lens  Information Provided:   Please note that,we request you to check whether the application RS Reflex is enabled in   Admin Console>>AppLication Inventory>>Project Mapping>>Enable the application>>Save.  Since you are able to uploadt the tickets now we are changing the status of the ticket as """"Resolved""  Please  contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.  Subhashini S    673898 1/11/2019 4:21:37 PM  Hi Balaji,  Thank you for the update.  Please note that,we request you to check whether the application RS Reflex is enabled in   Admin Console>>AppLication Inventory>>Project Mapping>>Enable the application>>Save.  Subhashini S    SSOneC1697PROD 1/11/2019 4:14:25 PM  Hi, The application RS Reflex is correctly configured and enabled in App Inventory.Please find the screenshot for your reference.  Balaji N    673898 1/10/2019 8:38:15 PM  Hi Balaji,  Thank you for the update.  Please note that,we request you to check whether the application RS Reflex is configured and enabled in App Inventory.  To check whether the application is configured,request you to navigate to,  Admin Console>>AppLication Inventory>>AppProfiling>>Search the application.  If the application is configured ,check whether the application is enabled in ,  Admin Console>>AppLication Inventory>>Project Mapping>>Enable the application>>Save.  Subhashini S    SSOneC1697PROD 1/10/2019 8:15:21 PM  Hi,  I have tried the given solution , but still facing the same issue. Tickets are not uploaded eventhought i changed the Affected CI as RS Reflex, and i tried for the same ticket with Affected CI as Power Image its uploaded successfully. Please refer the Attachment i provided.  Balaji N    439435 1/10/2019 7:35:22 PM  Hi Balaji,  Thank you for your update.  We are placing this case in pending for your update.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K    SSOneC1697PROD 1/10/2019 7:31:39 PM  Thanks for the Update. Let me try with your solution. Will update you back once it done.  Balaji N    439435 1/10/2019 7:05:28 PM  Hi Balaji,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033435441""  Issue Description: Unable to upload tickets in App Lens  Information Provided:   Please be informed that as checked from the back end we could see that the application configured is ""RS Reflex"" also the column ""Affected CI"" is mapped to Application.  While uploading the ticket dump, you have provided the Application name as ""Reflex"" which should be ""RS Reflex"". Request you to change the Affected CI as RS Reflex and upload the tickets  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K   ",AppLensLite,15
L1 (AVM Tools & Portals),AppLensLite,Others,How to add customer in Applens Application,"Hi Thiruvengadam,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033434830""  Issue Description: Getting irrelevant data in the data dictionary in App Lens  Information Provided:   Please be informed that, we had some issues in the data dictionary template and now the issue is resolved.  Request you to refresh the page and download the latest template for data dictionary upload.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",673898 1/10/2019 8:29:20 PM  a  Subhashini S    439435 1/10/2019 5:05:02 PM  In Progress  Vishnu Priya K    673898 1/10/2019 4:21:26 PM  a  Subhashini S   ,Hi Team While downloading the Data Dictionary template in the ticketing module the application name that gets downloaded is not relevant to AbbVie (Project Id: 1000179685). Kindly look into the same.,"673898 1/10/2019 8:29:38 PM  Hi Thiruvengadam,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033434830""  Issue Description: Getting irrelevant data in the data dictionary in App Lens  Information Provided:   Please be informed that, we had some issues in the data dictionary template and now the issue is resolved.  Request you to refresh the page and download the latest template for data dictionary upload.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.  Subhashini S    156247 1/10/2019 8:21:14 PM  Please close  Thiruvengadam Tamarapu Chellaswami    439435 1/10/2019 7:21:23 PM  Hi Thiruvengadam,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033434830""  Issue Description: Getting irrelevant data in the data dictionary in App Lens  Information Provided:   Please be informed that, we had some issues in the data dictionary template and now the issue is resolved.  Request you to refresh the page and download the latest template for data dictionary upload.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K   ",AppLensLite,16
AppLensLite_L2,AVM 1Capp,Reports,AVM 1CAPP - Need Release FTE Report,"Keywords : 1CAPP,  Resource Release details  Issue Notes: Resource release details for all the projects  Cause Code :  NA  Resolution Code : Provided the report",439430 1/10/2019 5:14:43 PM  In Progress  Meenushree M    436569 1/10/2019 3:46:30 PM  //  Paramasivam Krishnamoorthy    436569 1/10/2019 3:46:20 PM  //  Paramasivam Krishnamoorthy   ,Please share the resource release report for the month of January 2019.,"439430 1/10/2019 5:15:34 PM  Hi Govarthan,  Requested report has been shared through email.  Regards,  Applensteam  Meenushree M   ",AVM 1Capp,17
L1 (AVM Tools & Portals),AppLensLite,Need access to Qliksense report,Qlik access,"Dear Karthick ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033431351  Request:  We understand from your description that, Qlik access  Resolution:  Please be informed that, request you to raise the request in the below navigation,  https://identity.cognizant.com   >>Login with ur credentials>>Join DL>>Search the DL AVMQlikLicense (Cognizant)  >>Join>>Confirm   Once the request is approved by the DL POC,an approval mail will be triggered to you and after the certain period,request you to access the reports.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/10/2019 3:09:17 PM  a  Subhashini S   ,"Hi Viji,  As per the request from business team, kindly add the attached associate to AvmQliksense DL.   Regards, Karthick","673898 1/10/2019 3:12:21 PM  Dear Karthick ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033431351  Request:  We understand from your description that, Qlik access  Resolution:  Please be informed that, request you to raise the request in the below navigation,  https://identity.cognizant.com   >>Login with ur credentials>>Join DL>>Search the DL AVMQlikLicense (Cognizant)  >>Join>>Confirm   Once the request is approved by the DL POC,an approval mail will be triggered to you and after the certain period,request you to access the reports.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,18
L1 (AVM Tools & Portals),AppLensLite,How/Unable to update the Mandatory attributes,Timesheet defaulter report in Timesheet,,"673898 1/10/2019 3:17:52 PM  a  Subhashini S    633143 1/10/2019 3:15:02 PM  Hi Team,  Kindly assist the user on Applens timesheet compliance. Regards, IT Application Support   Swathi J   ",Regarding : Applens timesheet compliance  When/What is the timesheet reflection time to App Sense Report ?  One of my colleague submit his timesheet before 1PM  but While taking overall timesheet compliance report on 2 PM His name is there why ? Is there any jobs run behind to reflect his report why it was not reflecting immediately ?    Call Me any Time,"625820 1/10/2019 4:52:28 PM  Dear Balasubramanian,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033430749 Request:  We understand from your description that, Queries in Timesheet defaulter report  Resolution:  Please be informed that, the Qlik sense reports are not a live data. the report data will be refreshed every 2 hours by a Scheduled batch job   As the required information is shared, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Keerthana G S    Sinnochamps 1/10/2019 3:12:56 PM  Dear Balasubramanian,  Thank you for reaching IT Application Support.   Our Support engineer Swathi has started working on your request and will share the update as soon as possible.   Swathi shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 1/10/2019 3:12:53 PM  Dear Balasubramanian,  Your request has been assigned to one of our team members.  S innochamps    SSOneC1697PROD 1/10/2019 2:59:30 PM  Please Transfer this ticket to Applens Team Or AVMCoETechDesk.  Balasubramanian S    SCIAPEyeshare 1/10/2019 2:52:26 PM  Dear Balasubramanian S,  Thank you for reaching out to IT Application Support.  This is with reference to the ticket number: INC000033430749  Issue Description :Timesheet defaulter report in Timesheet   Resolution Provided:   Please be informed that RHMS Role is required to access Timesheet compliance App. To Raise a RHMS role request please Login to one cognizant using the URL (https://onecognizant.cognizant.com) >> Search for “RHMS” to raise a request.  Once your role request is approved, please follow the below navigation to view and download the Timesheet Defaulter/Approval defaulter list:  1) Login to one cognizant using the URL (https://onecognizant.cognizant.com)  2) Search for “Timesheet-Compliance” dashboard  3) Please choose the appropriate month and period(weekly wise) from “Time Filter” tab to view the Timesheet Defaulter/Approval defaulter details  4) Kindly click on the required tab like BU/Vertical/Horizontal to view the specific details and click on “Excel” icon at the top to download the file in App  5) To get the downloaded list in mail, please click on download tab  NOTES:   >>RHMS roles will get refreshed every Wednesday EOD IST so please access Timesheet compliance App after Wednesday once you get the RHMS role.  >> Please contact the Project Manager to know which role has to be Selected in RHMS.  We are placing the ticket in Pending for your confirmation, please revert with the ticket number for further clarifications.  *** This is an Auto-generated resolution based on your ticket description ***   Thanks,  IT Application Support.  SCIAP Eyeshare    SCIAPEyeshare 1/10/2019 2:52:19 PM  Work In Progress  SCIAP Eyeshare   ",AppLensLite,19
L1 (AVM Tools & Portals),AppLensLite,Performance Issue,Issue with Applens,"Dear Thejas ,  Thanks for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033429399  Request:  We understand from your description that,Issue with Applens  Resolution:  Please be informed that, We request you to use chrome browser for AppLens since the application is compatible with chrome and clear all the browsing history..  Request you to launch the application in https://applens.cognizant.com  If the issue still persists,Please follow the below steps :   1)Open a new browser by closing all the existing browsers   In the browser select the tools option ? Click Internet option ?General tab ?Click on Delete button ?Check Temporary internet files, Cookies, History ?Uncheck ""Preserve Favorites Website Data"" ?Delete  2)Click Security ?Trusted Sites?Sites? https://applens.cognizant.com/   3) Click on Content tab ?Clear SSL State ?Click on Ok    Kindly reach us for further queries.  Regards,  AVMCoETechDesk.",673898 1/10/2019 4:01:26 PM  a  Subhashini S    673898 1/10/2019 2:21:35 PM  a  Subhashini S   ,Applens page is not loading fully,"673898 1/10/2019 4:10:41 PM  Dear Thejas ,  Thanks for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033429399  Request:  We understand from your description that,Issue with Applens  Resolution:  Please be informed that, We request you to use chrome browser for AppLens since the application is compatible with chrome and clear all the browsing history..  Request you to launch the application in https://applens.cognizant.com  If the issue still persists,Please follow the below steps :   1)Open a new browser by closing all the existing browsers   In the browser select the tools option ? Click Internet option ?General tab ?Click on Delete button ?Check Temporary internet files, Cookies, History ?Uncheck ""Preserve Favorites Website Data"" ?Delete  2)Click Security ?Trusted Sites?Sites? https://applens.cognizant.com/   3) Click on Content tab ?Clear SSL State ?Click on Ok    Kindly reach us for further queries.  Regards,  AVMCoETechDesk.  Subhashini S    SSOneC1697PROD 1/10/2019 3:55:52 PM  Close ticket..problem resolved.  Thejas Swarup A Kethini    673898 1/10/2019 2:32:07 PM  Dear Thejas ,  Thanks for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033429399  Request:  We understand from your description that,Issue with Applens  Resolution:  Please be informed that, We request you to use chrome browser for AppLens since the application is compatible with chrome and clear all the browsing history..  Request you to launch the application in https://applens.cognizant.com  If the issue still persists,Please follow the below steps :   1)Open a new browser by closing all the existing browsers   In the browser select the tools option ? Click Internet option ?General tab ?Click on Delete button ?Check Temporary internet files, Cookies, History ?Uncheck ""Preserve Favorites Website Data"" ?Delete  2)Click Security ?Trusted Sites?Sites? https://applens.cognizant.com/   3) Click on Content tab ?Clear SSL State ?Click on Ok    Kindly reach us for further queries.  Regards,  AVMCoETechDesk.  Subhashini S    673898 1/10/2019 2:31:42 PM   Dear Thejas ,  Thanks for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033429399  Request:  We understand from your description that,Issue with Applens  Resolution:  Please be informed that, We request you to use chrome browser for AppLens since the application is compatible with chrome and clear all the browsing history..  Request you to launch the application in https://applens.cognizant.com  If the issue still persists,Please follow the below steps :   1)Open a new browser by closing all the existing browsers   In the browser select the tools option ? Click Internet option ?General tab ?Click on Delete button ?Check Temporary internet files, Cookies, History ?Uncheck ""Preserve Favorites Website Data"" ?Delete  2)Click Security ?Trusted Sites?Sites? https://applens.cognizant.com/   3) Click on Content tab ?Clear SSL State ?Click on Ok    Kindly reach us for further queries.  Regards,  AVMCoETechDesk.  Subhashini S    ",AppLensLite,20
L1 (AVM Tools & Portals),AppLensLite,Need clarification in the timesheet reports,AppLensLite Tracking Projectsetup Timesheet Others,,673898 1/10/2019 2:22:59 PM  a  Subhashini S   ,Timesheet report to be exported in excel,"625820 1/10/2019 4:29:10 PM  Dear Bharat Ravindra,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033429039  Request:  We understand from your description that, Timesheet report query  Resolution:  Please be informed that, as discussed over the call , the report data will be available only based on the Account level.there will be option to filter the required data  As per the confirmation on the call, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Keerthana G S    SSOneC1697PROD 1/10/2019 2:17:05 PM  I understood how to download the report , need to understand how can i download it for a spec project - 1000206364  Bharat R Desai   ",AppLensLite,21
AVMPMO_L2,AVM PMO,Others,AVM PMO related issues,,"597603 1/10/2019 12:08:41 PM  WIP  SRI RAM    673898 1/10/2019 12:01:33 PM  Hi Team,  Pl change the competencies for the below SO's to EAS IPM - Tibco, OpenSource, Biztalk & SAG and confirm asap.   26868771 26868772   Subhashini S   ","Hi Team,  Pl change the competencies for the below SO's to EAS IPM - Tibco, OpenSource, Biztalk & SAG and confirm asap.   26868771 26868772  Thanks, Karthik.","597603 1/10/2019 12:15:07 PM  Thee competencies for the below SO's updated to EAS IPM - Tibco, OpenSource, Biztalk & SAG    26868771 26868772  SRI RAM   ",AVMPMO,22
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,How to unfreeze timesheet in AppLensLite,"Hi Balaji,   Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033423201""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",673898 1/10/2019 11:52:17 AM  A  Subhashini S   ,Unable to unfreeze/approve timesheet entries in App lens after Jan 1st. True status of the timesheet is no reflecting.,"439435 1/10/2019 12:44:35 PM  Hi Balaji,   Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033423201""  Issue Description: Facing issues in App Lens Approve/unfreeze screen  Information Provided:   As discussed on Skype, please be informed that we request you to select the date from calendar picker and unfreeze/approve the timesheet since we are facing issues in graph and when you click on graph, it will show 2018 data.  Our technical team is working on the same and will be fixed at earliest.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.  Vishnu Priya K    ",AppLensLite,23
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,597603 1/10/2019 12:08:10 PM  WIP  SRI RAM    673898 1/10/2019 11:44:14 AM  Please move the SO 30927461 to status '1.2 Pending Demand Validation'  Subhashini S   ,Please move the SO 30927461 to status '1.2 Pending Demand Validation',597603 1/10/2019 12:10:23 PM  SO 30927461 updated to status '1.2 Pending Demand Validation'  SRI RAM   ,AVMPMO,24
AppLensLite_L2,AppLensLite,How/unable to enter efforts in AppLensLite,Unable to customize category and activity for MPS in AppLensLite,"Keywords : Performance,Cache,Portal Issue Notes: Page becomes irresponsive Cause Code :  Browser cache Resolution Code : Cleared the browser cache items","597603 1/10/2019 3:23:12 PM  //  SRI RAM    436569 1/10/2019 2:53:08 PM  //  Paramasivam Krishnamoorthy    436569 1/10/2019 2:13:03 PM  //  Paramasivam Krishnamoorthy    597603 1/10/2019 1:14:39 PM  /  SRI RAM    597603 1/10/2019 1:14:26 PM  /  SRI RAM    625820 1/10/2019 1:12:09 PM  Hi  Team,  User is unable to track the efforts in timesheet page , As the header values like (Ticket id , service , Activity etc) are reflecting in the lower end of the page (PFA).  We tried all the basic trouble shooting steps and refreshed multiple times still the entire header values are reflecting in other end of the page.  Project - 1000210037  Regards AVMTechdesk  Keerthana G S    439435 1/10/2019 11:27:05 AM  In Progress  Vishnu Priya K   ",I am unable to charge the Hours in applenslite. Could you please check and help me.,"597603 1/10/2019 3:27:49 PM  Hi Ravindra,  As discussed in call, we have cleared  the browser cache items. The issue is fixed.  Thank you  SRI RAM   ",AppLensLite,25
AVMPMO_L2,AVM PMO,Others,AVM PMO related issues,,"597603 1/10/2019 11:25:41 AM  WIP  SRI RAM    439435 1/10/2019 11:24:31 AM  Hi Team,  Pl move the below SO's to 2.1 IS Profiles Yet to be Shared and confirm asap.  30935091 30935911 30935912 30935913 30935914 30936021 30936514 30947751  Warm Regards, AVM PMO Support.  Vishnu Priya K   ","Hi Team,  Pl move the below SO's to 2.1 IS Profiles Yet to be Shared and confirm asap.  30935091 30935911 30935912 30935913 30935914 30936021 30936514 30947751  Thanks, Karthik.",597603 1/10/2019 11:28:23 AM  SO's updated to 2.1 IS Profiles Yet to be Shared   30935091 30935911 30935912 30935913 30935914 30936021 30936514 30947751   SRI RAM   ,AVMPMO,26
L1 (AVM Tools & Portals),AppLens,How to update Timesheet Approver,need access in AppLens,,625820 1/10/2019 10:48:57 AM  In Progress  Keerthana G S   ,"Hello Team,  I am the DE POC for below projects request you to provide me access for below project in Applens.  1000062381 Nestle Trade Reporting-Siebel 1000213856 Nestle Waters Support 1000102176 HIG-G-IT-CTO-SEEBURGER-PHASE-2 1000122763 HIG-M-CTO-IT-FoundationSrvs-FB 1000212533 WAG-Retail-IOMS-FB","625820 1/10/2019 1:27:35 PM  Dear Niyati ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033419785  Request:  We understand from your description that,need access in AppLens  Resolution:  As discussed over the call , Please reach the project PM to enable the proxy admin access to the project . But have ticketing module access/ Timesheet report access you should be having allocation in atleast one project   As the required information is shared through call, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Keerthana G S   ",AppLensLite,27
